Date,TEDSPREAD
8/6/19,0.18
8/7/19,0.2
8/8/19,0.2
8/9/19,0.22
8/12/19,0.22
8/13/19,0.2
8/14/19,0.25
8/15/19,0.25
8/16/19,0.31
8/19/19,0.25
8/20/19,0.25
8/21/19,0.22
8/22/19,0.17
8/23/19,0.21
8/26/19,.
8/27/19,0.18
8/28/19,0.17
8/29/19,0.18
8/30/19,0.19
9/2/19,.
9/3/19,0.19
9/4/19,0.18
9/5/19,0.17
9/6/19,0.21
9/9/19,0.22
9/10/19,0.22
9/11/19,0.21
9/12/19,0.21
9/13/19,0.22
9/16/19,0.2
9/17/19,0.21
9/18/19,0.25
9/19/19,0.27
9/20/19,0.26
9/23/19,0.21
9/24/19,0.23
9/25/19,0.25
9/26/19,0.31
9/27/19,0.34
9/30/19,0.25
10/1/19,0.31
10/2/19,0.31
10/3/19,0.37
10/4/19,0.35
10/7/19,0.3
10/8/19,0.33
10/9/19,0.32
10/10/19,0.34
10/11/19,0.35
10/14/19,.
10/15/19,0.36
10/16/19,0.37
10/17/19,0.34
10/18/19,0.32
10/21/19,0.29
10/22/19,0.32
10/23/19,0.32
10/24/19,0.3
10/25/19,0.3
10/28/19,0.32
10/29/19,0.33
10/30/19,0.32
10/31/19,0.39
11/1/19,0.4
11/4/19,0.41
11/5/19,0.36
11/6/19,0.37
11/7/19,0.37
11/8/19,0.38
11/11/19,.
11/12/19,0.35
11/13/19,0.37
11/14/19,0.36
11/15/19,0.36
11/18/19,0.36
11/19/19,0.35
11/20/19,0.36
11/21/19,0.36
11/22/19,0.37
11/25/19,0.34
11/26/19,0.34
11/27/19,0.32
11/28/19,.
11/29/19,0.35
12/2/19,0.33
12/3/19,0.35
12/4/19,0.37
12/5/19,0.38
12/6/19,0.39
12/9/19,0.38
12/10/19,0.36
12/11/19,0.35
12/12/19,0.36
12/13/19,0.36
12/16/19,0.36
12/17/19,0.37
12/18/19,0.38
12/19/19,0.39
12/20/19,0.38
12/23/19,0.39
12/24/19,0.41
12/25/19,.
12/26/19,.
12/27/19,0.4
12/30/19,0.37
12/31/19,.
1/1/20,.
1/2/20,0.39
1/3/20,0.38
1/6/20,0.34
1/7/20,0.37
1/8/20,0.32
1/9/20,0.34
1/10/20,0.33
1/13/20,0.29
1/14/20,0.3
1/15/20,0.3
1/16/20,0.31
1/17/20,0.29
1/20/20,.
1/21/20,0.28
1/22/20,0.28
1/23/20,0.27
1/24/20,0.29
1/27/20,0.25
1/28/20,0.23
1/29/20,0.25
1/30/20,0.22
1/31/20,0.23
2/3/20,0.2
2/4/20,0.2
2/5/20,0.2
2/6/20,0.19
2/7/20,0.2
2/10/20,0.16
2/11/20,0.17
2/12/20,0.15
2/13/20,0.13
2/14/20,0.14
2/17/20,.
2/18/20,0.14
2/19/20,0.15
2/20/20,0.13
2/21/20,0.15
2/24/20,0.15
2/25/20,0.14
2/26/20,0.11
2/27/20,0.16
2/28/20,0.21
3/2/20,0.15
3/3/20,0.38
3/4/20,0.29
3/5/20,0.39
3/6/20,0.45
3/9/20,0.45
3/10/20,0.35
3/11/20,0.36
3/12/20,0.41
3/13/20,0.57
3/16/20,0.65
3/17/20,0.86
3/18/20,1.1
3/19/20,1.16
3/20/20,1.15
3/23/20,1.2
3/24/20,1.22
3/25/20,1.31
3/26/20,1.42
3/27/20,1.42
3/30/20,1.31
3/31/20,1.34
4/1/20,1.35
4/2/20,1.28
4/3/20,1.29
