Date,High,Low,SPY Close
2/19/2015,210.4199982,209.2400055,189.1701813
2/20/2015,211.3300018,208.7299957,190.3052826
2/23/2015,211.2100067,210.4799957,190.2782593
2/24/2015,212.0500031,210.7599945,190.8187714
2/25/2015,212.2400055,211.2200012,190.6566467
2/26/2015,211.7100067,210.6499939,190.4314423
2/27/2015,211.5800018,210.6000061,189.7827606
3/2/2015,212.0599976,210.7200012,190.9809875
3/3/2015,212.0500031,210.0800018,190.1971588
3/4/2015,210.4900055,209.0599976,189.3953552
3/5/2015,210.8000031,209.8500061,189.6025543
3/6/2015,209.9400024,207.1000061,186.9359436
3/9/2015,208.7899933,207.5500031,187.7106781
3/10/2015,206.8099976,204.9299927,184.6657104
3/11/2015,205.5,204.3999939,184.2332458
3/12/2015,207.1799927,205.1999969,186.5755463
3/13/2015,207.9299927,204.5800018,185.4314423
3/16/2015,208.6900024,205.8600006,187.9088745
3/17/2015,208.4199982,206.9799957,187.3503265
3/18/2015,211.2700043,206.6199951,189.6025543
3/19/2015,210.4700012,209.0299988,188.7377319
3/20/2015,211.0200043,209.4900055,190.4036865
3/23/2015,211.1100006,210,190.0326996
3/24/2015,210.3999939,208.7400055,188.9648743
3/25/2015,209.3500061,205.7100067,186.1958313
3/26/2015,206.3699951,204.1199951,185.7524261
3/27/2015,205.9499969,204.8999939,186.1776886
3/30/2015,208.6100006,206.9600067,188.4490356
3/31/2015,208.1000061,206.3600006,186.802124
4/1/2015,206.4199982,204.5099945,186.1415405
4/2/2015,206.9799957,205.3999939,186.8111877
4/6/2015,208.4499969,205.2100067,188.0690002
4/7/2015,208.7599945,207.2400055,187.5712738
4/8/2015,208.5099945,207.0800018,188.2047119
4/9/2015,209.1799927,207.1900024,189.037262
4/10/2015,210.0899963,208.9600067,190.0688324
4/13/2015,210.6300049,209.0299988,189.2092133
4/14/2015,209.7100067,208.1000061,189.5711212
4/15/2015,211.0399933,209.9499969,190.4217377
4/16/2015,210.9799957,209.7899933,190.3674774
4/17/2015,209.2299957,207.0099945,188.1775513
4/20/2015,210.25,208.9600067,189.8969116
4/21/2015,210.8600006,209.2400055,189.6707153
4/22/2015,210.8500061,208.8999939,190.6027679
4/23/2015,211.9400024,210.0099945,191.0823669
4/24/2015,211.9700012,211.1100006,191.5257721
4/27/2015,212.4799957,210.5399933,190.7294312
4/28/2015,211.5,209.3300018,191.3357697
4/29/2015,211.2899933,209.6000061,190.5484772
4/30/2015,210.3500061,207.6199951,188.6390686
5/1/2015,210.7700043,209.2799988,190.6841888
5/4/2015,212.0200043,211.1000061,191.2271423
5/5/2015,211.4600067,208.7299957,189.037262
5/6/2015,209.9299927,206.7599945,188.2590179
5/7/2015,209.3800049,207.5200043,189.0101166
5/8/2015,211.8600006,210.7799988,191.498642
5/11/2015,211.8899994,210.5200043,190.584671
