Date,GOLDAMGBD228NLBM
3/17/17,1228.75
3/20/17,1233
3/21/17,1232.05
3/22/17,1246.1
3/23/17,1247.9
3/24/17,1244
3/27/17,1256.9
3/28/17,1253.65
3/29/17,1252.9
3/30/17,1250.9
3/31/17,1241.7
4/3/17,1246.25
4/4/17,1258.65
4/5/17,1252.5
4/6/17,1253.75
4/7/17,1264.3
4/10/17,1253.6
4/11/17,1255.7
4/12/17,1272.3
4/13/17,1286.1
4/14/17,.
4/17/17,.
4/18/17,1285
4/19/17,1282.05
4/20/17,1279.9
4/21/17,1281.5
4/24/17,1271.8
4/25/17,1270.5
4/26/17,1264.95
4/27/17,1264.3
4/28/17,1265.55
5/1/17,.
5/2/17,1255.8
5/3/17,1253.95
5/4/17,1235.85
5/5/17,1239.4
5/8/17,1229.7
5/9/17,1225.15
5/10/17,1222.95
5/11/17,1221
5/12/17,1227.9
5/15/17,1231.5
5/16/17,1234.05
5/17/17,1244.6
5/18/17,1261.35
5/19/17,1251.85
5/22/17,1255.25
5/23/17,1259.9
5/24/17,1251.35
5/25/17,1257.1
5/26/17,1265
5/29/17,.
5/30/17,1262.8
5/31/17,1263.8
6/1/17,1266.15
6/2/17,1260.95
6/5/17,1280.7
6/6/17,1287.85
6/7/17,1292.7
6/8/17,1284.8
6/9/17,1274.25
6/12/17,1269.25
6/13/17,1261.3
6/14/17,1268.25
6/15/17,1260.25
6/16/17,1256.6
6/19/17,1251.1
6/20/17,1246.5
6/21/17,1247.05
6/22/17,1251.4
6/23/17,1256.3
6/26/17,1240.85
6/27/17,1250.4
6/28/17,1251.6
6/29/17,1246.6
6/30/17,1243.25
7/3/17,1235.2
7/4/17,1224.25
7/5/17,1221.9
7/6/17,1224.3
7/7/17,1220.4
7/10/17,1207.55
7/11/17,1211.9
7/12/17,1219.4
7/13/17,1221.4
7/14/17,1218.95
7/17/17,1229.85
7/18/17,1237.1
7/19/17,1239.85
7/20/17,1236.55
7/21/17,1247.25
7/24/17,1255.85
7/25/17,1252
7/26/17,1245.4
7/27/17,1262.05
7/28/17,1259.6
7/31/17,1266.35
8/1/17,1267.05
8/2/17,1266.65
8/3/17,1261.8
8/4/17,1269.3
8/7/17,1257.55
8/8/17,1261.45
8/9/17,1267.95
8/10/17,1278.9
8/11/17,1288.3
8/14/17,1281.1
8/15/17,.
8/16/17,1270.15
8/17/17,1285.9
8/18/17,1295.25
8/21/17,1287.6
8/22/17,1285.1
8/23/17,1286.45
8/24/17,1285.9
8/25/17,1287.05
8/28/17,.
8/29/17,1323.4
8/30/17,1310.6
8/31/17,1305.8
9/1/17,1318.4
9/4/17,1334.6
9/5/17,1331.15
9/6/17,1340.15
9/7/17,1340.45
9/8/17,1350.9
9/11/17,1338.75
9/12/17,1326.25
9/13/17,1332.25
9/14/17,1323
9/15/17,1325
9/18/17,1314.4
9/19/17,1308.45
9/20/17,1314.9
9/21/17,1297.35
9/22/17,1297
9/25/17,1295.5
9/26/17,1306.9
9/27/17,1291.3
9/28/17,1284.3
9/29/17,1286.95
10/2/17,1273.1
10/3/17,1270.7
10/4/17,1275.55
10/5/17,1278.4
10/6/17,1268.2
10/9/17,1282.15
10/10/17,1289.6
10/11/17,1290.2
10/12/17,1294.45
10/13/17,1293.9
10/16/17,1305.15
10/17/17,1289.7
10/18/17,1280.65
10/19/17,1283.4
10/20/17,1280.25
10/23/17,1275.25
10/24/17,1278.3
10/25/17,1273
10/26/17,1278
10/27/17,1267.8
10/30/17,1272.75
10/31/17,1274.4
11/1/17,1279.25
11/2/17,1276.4
11/3/17,1275.3
11/6/17,1271.6
11/7/17,1276.35
11/8/17,1282.25
11/9/17,1284
11/10/17,1284.45
11/13/17,1278.4
11/14/17,1273.7
11/15/17,1285.7
11/16/17,1277.7
11/17/17,1283.85
11/20/17,1292.35
11/21/17,1280
11/22/17,1283.95
11/23/17,1290.15
11/24/17,1289.15
11/27/17,1294.7
11/28/17,1293.9
11/29/17,1294.85
11/30/17,1282.15
12/1/17,1277.25
12/4/17,1279.1
12/5/17,1275.9
12/6/17,1268.55
12/7/17,1256.8
12/8/17,1245.85
12/11/17,1251.4
12/12/17,1243.4
12/13/17,1241.6
12/14/17,1255.6
12/15/17,1257.25
12/18/17,1258.65
12/19/17,1263.1
12/20/17,1265.95
12/21/17,1265.85
12/22/17,1268.05
12/25/17,.
12/26/17,.
12/27/17,1285.4
12/28/17,1291.6
12/29/17,1296.5
1/1/18,.
1/2/18,1312.8
1/3/18,1314.6
1/4/18,1313.7
1/5/18,1317.9
1/8/18,1318.8
1/9/18,1314.95
1/10/18,1321.65
1/11/18,1319.85
1/12/18,1332.9
1/15/18,1343
1/16/18,1334.95
1/17/18,1337.35
1/18/18,1329.75
